locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Schaarbeek,Apartment,,875,rent,1,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90901
Oostende,Apartment,,3380,rent,2,59,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/8400/oostende/rwc41907
Sint-Lambrechts-Woluwe,Apartment,,1650,rent,2,100,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90892
Etterbeek,Residence,,2000,rent,4,160,0,0,0,1,15,0,0,https://immovlan.be/en/detail/residence/for-rent/1040/etterbeek/vbd90940
Hensies,Apartment,,800,rent,2,0,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/7350/hensies/vbd90913
Schaarbeek,Apartment,,1150,rent,1,77,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90912
Brussels,Apartment,,2400,rent,0,30,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41909
Brussels,Apartment,,2475,rent,3,85,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41906
Knesselare,Apartment,,4810,rent,2,269,1,1,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/9910/knesselare/rwc41905
Genval,Apartment,,1100,rent,3,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1332/genval/vbd90897
Lier,Apartment,,700,rent,1,60,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2500/lier/rbv35046
Elsene,Apartment,,1000,rent,0,55,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90886
Brussels,Apartment,,2565,rent,1,45,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41908
Rebecq,Residence,,400000,public,8,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/in-public-sale/1430/rebecq/vbd90890
Ukkel,Apartment,,2350,rent,3,135,1,1,0,1,15,1,,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/rbv35048
Nivelles,Residence,,1600,rent,3,142,0,0,0,1,16,1,118,https://immovlan.be/en/detail/residence/for-rent/1400/nivelles/vbd90896
Elsene,Apartment,,2550,rent,2,162,0,0,0,1,14,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90828
Jodoigne,Residence,,105000,public,4,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/in-public-sale/1370/jodoigne/vbd90862
Lessines,Apartment,,700,rent,2,76,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7860/lessines/vbd90874
Gent,Studio,,675,rent,1,30,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/9000/gent/rbv35036
Ukkel,Apartment,,1200,rent,2,75,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90865
Angleur,Apartment,,935,rent,2,85,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4031/angleur/vbd90829
Brussels,Duplex,,1300,rent,2,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1000/brussels/vbd90872
Ciney,Residence,,90000,public,3,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/in-public-sale/5590/ciney/vbd90832
Sougné-Remouchamps,Apartment,,750,rent,2,68,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/4920/sougne-remouchamps/vwd16746
Tinlot,Residence,,750,rent,3,130,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/4557/tinlot/vbd90869
Mons,Ground,,500,for,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/7000/mons/vwd16744
Etterbeek,Apartment,,1850,rent,2,79,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90821
Schaarbeek,Apartment,,1150,rent,2,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90870
Elsene,Apartment,,1600,rent,1,62,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90863
Sint-Lambrechts-Woluwe,Apartment,,1850,rent,2,79,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90820
Sint-Pieters-Woluwe,Apartment,,1250,rent,1,76,1,1,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/1150/sint-pieters-woluwe/vbd90851
Antwerp,Apartment,,2200,rent,0,0,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90784
Sint-Lambrechts-Woluwe,Apartment,,2040,rent,2,114,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90769
Sint-Lambrechts-Woluwe,Apartment,,2100,rent,2,97,1,1,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90818
Brussels,Apartment,,1400,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90780
Etterbeek,Apartment,,1185,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90772
Seraing,Apartment,,935,rent,2,95,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4100/seraing/rwc41898
Antwerp,Apartment,,1900,rent,1,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90782
Antwerp,Apartment,,1600,rent,0,0,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/vbd90770
Arlon,Studio,,550,rent,0,28,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/6700/arlon/vbd90800
Oostende,Residence,,895,rent,2,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/8400/oostende/rbv34933
Mouscron,Residence,,1200,rent,4,205,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/7700/mouscron/vbd90789
Bouillon,Apartment,,850,rent,2,80,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6830/bouillon/vbd90803
Antwerp,Apartment,,2000,rent,1,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90779
Brussels,Apartment,,1700,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90783
Heusden-Zolder,Bungalow,,1100,rent,2,164,0,0,0,0,0,1,,https://immovlan.be/en/detail/bungalow/for-rent/3550/heusden-zolder/rbv34963
Strombeek-Bever,Apartment,,895,rent,1,55,0,0,0,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/1853/strombeek-bever/rbv34967
Mettet,Apartment,,1150,rent,3,93,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/5640/mettet/vbd90673
Elsene,Apartment,,3400,rent,4,205,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90684
Pecq,Apartment,,740,rent,1,82,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7740/pecq/vbd90664
Sint-Lambrechts-Woluwe,Apartment,,1200,rent,2,70,0,0,0,1,2,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90702
Sint-Kruis,Apartment,,1300,rent,3,0,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/8310/sint-kruis/rbv34534
Elsene,Apartment,,1600,rent,2,105,1,1,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90740
Brussels,Apartment,,1450,rent,2,100,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv34515
Deurne,Duplex,,810,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/2100/deurne/rbv34595
Wavre,Apartment,,975,rent,2,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1300/wavre/vbd90665
Sint-Jans-Molenbeek,Apartment,,1250,rent,2,82,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1080/sint-jans-molenbeek/vbd90681
