locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Brussels,Apartment,,1400,rent,2,92,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90640
Mouscron,Apartment,,735,rent,1,76,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7700/mouscron/vbd90605
Schaarbeek,Apartment,,1250,rent,1,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90617
Braine-l'Alleud,Apartment,,2100,rent,3,170,0,0,0,1,24,0,0,https://immovlan.be/en/detail/apartment/for-rent/1420/braine-l-alleud/vbd90612
Etterbeek,Apartment,,1300,rent,2,132,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90656
Bertrix,Apartment,,785,rent,1,74,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/6880/bertrix/vbd90596
Sint-Pieters-Woluwe,Residence,,2850,rent,4,220,0,0,0,1,15,1,200,https://immovlan.be/en/detail/residence/for-rent/1150/sint-pieters-woluwe/vbd90563
Oudergem,Apartment,,2500,rent,3,154,0,0,0,1,16,0,0,https://immovlan.be/en/detail/apartment/for-rent/1160/oudergem/vbd90581
Elsene,Apartment,,1350,rent,2,96,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90578
Liege,Apartment,,950,rent,1,115,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4000/liege/vbd90572
Antwerp,Apartment,,775,rent,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2050/antwerp/rbv34478
Antwerp,Duplex,,1600,rent,3,140,0,0,0,1,6,0,0,https://immovlan.be/en/detail/duplex/for-rent/2018/antwerp/rbv34476
Antwerp,Apartment,,1200,rent,2,90,0,0,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv34477
Elsene,Apartment,,1590,rent,2,111,0,0,0,1,11,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90574
Liege,Apartment,,650,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/4000/liege/vbd90573
Seneffe,Residence,,1250,rent,3,140,0,0,0,1,15,1,350,https://immovlan.be/en/detail/residence/for-rent/7180/seneffe/vbd90594
Watermaal-Bosvoorde,Residence,,1650,rent,3,115,0,0,0,1,25,1,102,https://immovlan.be/en/detail/residence/for-rent/1170/watermaal-bosvoorde/vbd90567
Jette,Duplex,,1350,rent,3,103,0,0,0,1,4,0,0,https://immovlan.be/en/detail/duplex/for-rent/1090/jette/vbd90552
Ham-sur-Heure-Nalinnes,Apartment,,750,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6120/ham-sur-heure-nalinnes/vbd90592
Anderlecht,Apartment,,90000,public,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/in-public-sale/1070/anderlecht/vbd90582
Brussels,Apartment,,2100,rent,2,141,0,0,0,1,20,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90591
Brussels,Apartment,,1300,rent,2,95,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90528
Antwerp,Studio,,650,rent,0,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/2060/antwerp/rbv34470
Ruiselede,Ground,,875,for,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/8755/ruiselede/rbv34466
Louvain-la-Neuve,Ground,,940,for,1,68,0,0,0,1,12,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/1348/louvain-la-neuve/vwd16734
Antwerp,Apartment,,900,rent,1,67,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv34437
Enghien,Duplex,,1000,rent,3,85,0,0,0,1,,0,0,https://immovlan.be/en/detail/duplex/for-rent/7850/enghien/vbd90538
Andenne,Apartment,,875,rent,2,125,0,0,0,1,16,1,,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd90523
Antwerp,Apartment,,1500,rent,1,72,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv34434
Heusden-Zolder,Apartment,,850,rent,2,86,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/3550/heusden-zolder/rbv34462
